Paired,TubeID,Medium,Date,AnalysisDate,DaysSince,Time,Monkey,Sex,Age,Group,Observer,AnalysisMethod,Total ml,FecesWeight,Diversity,TotalPara,PFG,FilaPFG,StrongPFG,Total3,Total2,Total1,TotalR,AvRating,UID_egg_total,UIDegg3,UIDegg2,UIDegg1,UID_larvae_total,UIDlarv3,UIDlarv2,UIDlarv1,UID_worm_total,UIDWorm3,UIDWorm2,UIDWorm1,FilaPres,FilaTotal,Fila3,Fila2,Fila1,StrongPres,StrongTotal,Strong3,Strong2,Strong1,StlvTotal,Stlv3,Stlv2,Stlv1,CeleTotal,Cele3,Cele2,Cele1,Prosthenorchis,Necator americanus (55-77µm),Hookworm egg,HookwormTotal,HW3,HW2,HW1
9,PA-695,Formalin,10-Aug-21,21-Oct-22,437,9:49,Honeydukes,Hembra,AF,GN,JKH,sedimentation,11,2,3,112,56,52,3,112,0,0,112,3,0,0,0,0,0,0,0,0,0,0,0,0,1,104,104,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
10,PA-697,Formalin,11-Aug-21,19-Jul-22,342,7:57,Lando,Macho,LJM,AD,JKH,sedimentation,11.3,3.11,6,365,117,111,4,348,17,0,365,2.95,3,3,0,0,3,3,0,0,0,0,0,0,1,346,329,17,0,1,12,12,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,PA-698,Ethanol,11-Aug-21,21-Jul-22,344,7:57,Lando,Macho,LJM,AD,JKH,sedimentation,7.2,2.3,4,148,64,57,6,19,91,38,148,1.87,0,0,0,0,0,0,0,0,2,1,1,0,1,132,4,90,38,1,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,PA-701,Formalin,11-Aug-21,23-Sep-22,408,8:45,Cosgworth,Macho,AM,AD,JKH,sedimentation,11.2,2.66,6,215,81,75,1,160,48,7,215,2.71,1,0,1,0,10,10,0,0,1,1,0,0,1,200,146,47,7,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,PA-702,Ethanol,11-Aug-21,23-Sep-22,408,8:45,Cosgworth,Macho,AM,AD,JKH,sedimentation,7,2.56,4,80,31,30,0,4,53,23,80,1.76,0,0,0,0,0,0,0,0,0,0,0,0,1,77,1,53,23,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
12,PA-705,Formalin,11-Aug-21,6-May-22,268,9:28,Baloo,Hembra,AF,AD,HH,sedimentation,11,2.51,5,683,272,265,6,0,0,0,0,,0,0,0,0,2,,,,0,,,,1,665,,,,1,16,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,
12,PA-706,Ethanol,11-Aug-21,5-May-22,267,9:28,Baloo,Hembra,AF,AD,JKH,sedimentation,7.2,2.84,3,302,106,100,5,41,173,88,302,1.84,0,0,0,0,0,0,0,0,0,0,0,0,1,285,27,170,88,1,14,14,0,0,3,0,3,0,0,0,0,0,0,0,0,0,,,
13,PA-708,Formalin,11-Aug-21,26-Jul-22,349,10:10,Appo,Macho,LJM,AD,JKH,sedimentation,11.3,2.5,3,283,113,107,6,263,20,0,283,2.93,0,0,0,0,0,0,0,0,1,1,0,0,1,267,247,20,0,1,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,PA-709,Ethanol,11-Aug-21,28-Jul-22,351,10:10,Appo,Macho,LJM,AD,JKH,sedimentation,7.5,2.49,4,108,43,41,2,5,56,47,108,1.61,1,1,0,0,0,0,0,0,0,0,0,0,1,102,0,55,47,1,4,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,PA-710,Formalin,11-Aug-21,28-Apr-22,260,11:30,MadMadamMim,Hembra,AF,AD,JKH/MCH,floatation/sedimentation,11.5,4.4,4,14,3,2,1,0,0,0,0,,2,,,,0,,,,0,,,,1,9,,,,1,3,,,,0,,,,,,,,0,0,0,0,,,
